"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Cajanus cajan (pigeon pea) - GCA_000340665.1","Many-to-many View Gene Tree","C.cajan_31733 Compare Regions (KQ483549.1:380,797-384,695:-1) View Sequence Alignments","57.19 %","60.73 %","n/a","n/a","No"
"Camelina sativa","Many-to-many View Gene Tree","Csa01g032080 Compare Regions (1:14,536,649-14,538,769:-1) View Sequence Alignments","57.05 %","61.82 %","n/a","90.96","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa03g024380 Compare Regions (3:9,317,288-9,319,522:-1) View Sequence Alignments","45.36 %","56.91 %","n/a","67.98","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa07g047830 Compare Regions (7:24,585,502-24,587,551:-1) View Sequence Alignments","48.70 %","47.64 %","n/a","86.30","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa09g081000 Compare Regions (9:30,714,908-30,716,936:-1) View Sequence Alignments","49.35 %","48.36 %","n/a","87.46","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa14g025770 Compare Regions (14:9,912,180-9,915,082:-1) View Sequence Alignments","60.44 %","60.55 %","n/a","0.00","No"
"Camelina sativa","Many-to-many View Gene Tree","Csa15g075940 Compare Regions (15:26,294,603-26,297,047:1) View Sequence Alignments","56.22 %","61.64 %","n/a","85.93","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa17g026370 Compare Regions (17:9,525,403-9,527,247:-1) View Sequence Alignments","61.16 %","61.27 %","n/a","93.89","Yes"
"Camelina sativa","Many-to-many View Gene Tree","Csa19g054510 Compare Regions (19:24,204,864-24,207,052:1) View Sequence Alignments","56.69 %","61.64 %","n/a","89.80","Yes"
"Cannabis sativa female","Many-to-many View Gene Tree","evm.TU.01.16 Compare Regions (1:180,454-185,534:1) View Sequence Alignments","26.62 %","46.36 %","n/a","76.12","Yes"
"Cannabis sativa female","Many-to-many View Gene Tree","evm.TU.01.20 Compare Regions (1:252,592-261,842:1) View Sequence Alignments","29.29 %","55.27 %","n/a","73.41","Yes"
"Cannabis sativa female","Many-to-many View Gene Tree","evm.TU.01.23 Compare Regions (1:276,391-286,978:1) View Sequence Alignments","22.48 %","42.55 %","n/a","10.02","No"
"Cannabis sativa female","Many-to-many View Gene Tree","evm.TU.06.1977 Compare Regions (6:92,533,808-92,536,434:-1) View Sequence Alignments","54.77 %","59.45 %","n/a","16.27","No"
"Cannabis sativa female","Many-to-many View Gene Tree","novel_gene_1061_5bd9a17a Compare Regions (1:70,648,169-70,651,322:1) View Sequence Alignments","63.81 %","65.09 %","n/a","95.30","Yes"
"Cannabis sativa female","Many-to-many View Gene Tree","novel_gene_14_5bd9a17a Compare Regions (1:206,783-214,885:1) View Sequence Alignments","38.91 %","45.27 %","n/a","12.58","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_01009 Compare Regions (1:26,935,706-26,939,227:1) View Sequence Alignments","64.21 %","64.91 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_04394 Compare Regions (2:55,274,230-55,276,586:1) View Sequence Alignments","54.02 %","25.64 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_04395 Compare Regions (2:55,276,619-55,282,004:1) View Sequence Alignments","24.47 %","14.73 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_04398 Compare Regions (2:56,309,261-56,319,257:1) View Sequence Alignments","54.55 %","60.00 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_04399 Compare Regions (2:56,759,638-56,759,973:1) View Sequence Alignments","31.53 %","6.36 %","n/a","0.00","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06175 Compare Regions (2:152,757,995-152,778,619:1) View Sequence Alignments","45.89 %","46.73 %","n/a","86.64","Yes"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06178 Compare Regions (2:152,802,049-152,808,415:-1) View Sequence Alignments","56.77 %","62.55 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06179 Compare Regions (2:152,814,245-152,814,847:-1) View Sequence Alignments","49.37 %","14.18 %","n/a","82.58","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06180 Compare Regions (2:152,817,351-152,829,393:-1) View Sequence Alignments","60.99 %","60.55 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06181 Compare Regions (2:152,833,795-152,834,268:-1) View Sequence Alignments","66.24 %","18.91 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_06182 Compare Regions (2:152,836,911-152,839,439:-1) View Sequence Alignments","54.55 %","61.09 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_10863 Compare Regions (3:279,650,907-279,654,936:1) View Sequence Alignments","55.32 %","60.55 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_11511 Compare Regions (4:13,971,413-13,975,689:1) View Sequence Alignments","57.82 %","61.82 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_19747 Compare Regions (7:181,655,758-181,657,649:1) View Sequence Alignments","56.32 %","60.73 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_19963 Compare Regions (7:209,780,964-209,781,488:1) View Sequence Alignments","64.37 %","20.36 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_32903 Compare Regions (PGAv.1.6.scaffold1006:701,621-706,130:1) View Sequence Alignments","63.39 %","63.27 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_34067 Compare Regions (PGAv.1.6.scaffold1427:328,933-333,860:-1) View Sequence Alignments","64.86 %","65.09 %","n/a","n/a","No"
"Capsicum annuum","Many-to-many View Gene Tree","T459_35196 Compare Regions (PGAv.1.6.scaffold2378:12,428-28,107:1) View Sequence Alignments","28.71 %","21.09 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62007322 Compare Regions (C_Quinoa_Scaffold_1971:4,005,741-4,010,340:1) View Sequence Alignments","52.78 %","53.45 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62018683 Compare Regions (C_Quinoa_Scaffold_1817:863,402-866,581:-1) View Sequence Alignments","52.75 %","57.45 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62026163 Compare Regions (C_Quinoa_Scaffold_3298:29,232-34,709:1) View Sequence Alignments","58.27 %","52.55 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62026167 Compare Regions (C_Quinoa_Scaffold_3298:97,615-99,069:-1) View Sequence Alignments","41.32 %","36.36 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62036862 Compare Regions (C_Quinoa_Scaffold_3356:464,777-466,210:1) View Sequence Alignments","63.73 %","55.27 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62036867 Compare Regions (C_Quinoa_Scaffold_3356:515,664-519,765:1) View Sequence Alignments","62.52 %","63.09 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62036870 Compare Regions (C_Quinoa_Scaffold_3356:560,198-564,510:1) View Sequence Alignments","62.54 %","63.45 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62040793 Compare Regions (C_Quinoa_Scaffold_1283:9,979-11,409:1) View Sequence Alignments","63.47 %","43.27 %","n/a","n/a","No"
"Chenopodium quinoa","Many-to-many View Gene Tree","AUR62044376 Compare Regions (C_Quinoa_Scaffold_4323:41,769-43,712:1) View Sequence Alignments","61.48 %","48.18 %","n/a","n/a","No"
"Citrullus lanatus","Many-to-many View Gene Tree","Cla97C01G020350 Compare Regions (1:33,032,005-33,034,109:-1) View Sequence Alignments","58.33 %","62.36 %","n/a","78.76","Yes"
"Citrullus lanatus","Many-to-many View Gene Tree","Cla97C10G184900 Compare Regions (10:410,795-417,072:-1) View Sequence Alignments","45.93 %","45.09 %","n/a","0.00","No"
"Citrullus lanatus","Many-to-many View Gene Tree","Cla97C11G224770 Compare Regions (11:30,436,946-30,440,985:-1) View Sequence Alignments","61.10 %","64.55 %","n/a","95.03","Yes"
"Citrullus lanatus","Many-to-many View Gene Tree","Cla97C11G224780 Compare Regions (11:30,442,907-30,445,078:-1) View Sequence Alignments","61.69 %","62.36 %","n/a","0.00","No"
"Citrus clementina","Many-to-many View Gene Tree","CICLE_v10000755mg Compare Regions (KI536799:42,639,614-42,642,099:-1) View Sequence Alignments","65.58 %","65.82 %","n/a","100.00","Yes"
"Citrus clementina","Many-to-many View Gene Tree","CICLE_v10025227mg Compare Regions (KI536925:343,772-346,618:-1) View Sequence Alignments","59.56 %","64.00 %","n/a","83.76","Yes"
"Citrus clementina","Many-to-many View Gene Tree","CICLE_v10027208mg Compare Regions (KI536925:359,259-362,043:-1) View Sequence Alignments","48.58 %","49.64 %","n/a","87.29","Yes"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00002073001 Compare Regions (scaffold_688:18,403-18,765:-1) View Sequence Alignments","35.00 %","7.64 %","n/a","0.00","No"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00008809001 Compare Regions (scaffold_13119:1,473-2,027:-1) View Sequence Alignments","63.23 %","17.82 %","n/a","0.00","No"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00013223001 Compare Regions (1:5,469,896-5,471,229:-1) View Sequence Alignments","55.34 %","31.09 %","n/a","0.00","No"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00019311001 Compare Regions (1:3,966,761-3,967,591:-1) View Sequence Alignments","51.45 %","25.82 %","n/a","0.00","No"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00019312001 Compare Regions (1:3,970,226-3,970,594:-1) View Sequence Alignments","37.70 %","8.36 %","n/a","0.00","No"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00036979001 Compare Regions (7:8,564,295-8,567,795:-1) View Sequence Alignments","64.02 %","61.45 %","n/a","87.95","Yes"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00036986001 Compare Regions (7:8,521,108-8,525,500:-1) View Sequence Alignments","48.01 %","48.18 %","n/a","96.06","Yes"
"Coffea canephora","Many-to-many View Gene Tree","GSCOC_T00037878001 Compare Regions (1:2,525,547-2,530,112:1) View Sequence Alignments","59.29 %","39.45 %","n/a","82.09","Yes"
"Corchorus capsularis","Many-to-many View Gene Tree","CCACVL1_02129 Compare Regions (contig05620:2,549-4,652:1) View Sequence Alignments","58.78 %","63.27 %","n/a","83.74","Yes"
"Corchorus capsularis","Many-to-many View Gene Tree","CCACVL1_04509 Compare Regions (contig07225:34,527-37,210:-1) View Sequence Alignments","66.67 %","67.27 %","n/a","98.56","Yes"
"Corchorus capsularis","Many-to-many View Gene Tree","CCACVL1_27058 Compare Regions (contig14597:8,520-15,504:1) View Sequence Alignments","27.99 %","45.09 %","n/a","0.00","No"
"Corylus avellana","Many-to-many View Gene Tree","Cav01g18510 Compare Regions (ca1:25,954,683-25,959,295:-1) View Sequence Alignments","42.90 %","46.73 %","n/a","n/a","No"
"Corylus avellana","Many-to-many View Gene Tree","Cav02g01040 Compare Regions (ca2:1,070,201-1,077,983:-1) View Sequence Alignments","33.78 %","64.73 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1705 Compare Regions (5:26,695,743-26,697,708:-1) View Sequence Alignments","40.34 %","34.91 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1731 Compare Regions (5:27,794,861-27,797,374:1) View Sequence Alignments","41.78 %","37.45 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1732 Compare Regions (5:27,874,727-27,876,442:1) View Sequence Alignments","43.51 %","37.82 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1733 Compare Regions (5:27,910,837-27,912,574:1) View Sequence Alignments","42.48 %","38.00 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1734 Compare Regions (5:27,916,522-27,919,201:-1) View Sequence Alignments","62.62 %","61.82 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1735 Compare Regions (5:27,926,906-27,928,440:-1) View Sequence Alignments","69.46 %","21.09 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1736 Compare Regions (5:27,928,234-27,930,073:-1) View Sequence Alignments","60.22 %","39.09 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_E1737 Compare Regions (5:27,958,028-27,960,764:-1) View Sequence Alignments","56.88 %","61.64 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_F0425 Compare Regions (6:4,108,201-4,128,099:1) View Sequence Alignments","44.28 %","42.91 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_H1310 Compare Regions (8:17,287,495-17,287,956:1) View Sequence Alignments","69.93 %","19.45 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_H1311 Compare Regions (8:17,293,360-17,295,997:-1) View Sequence Alignments","45.66 %","41.09 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L0707 Compare Regions (MU089761.1:15,172-16,896:-1) View Sequence Alignments","61.65 %","61.09 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L0708 Compare Regions (MU089761.1:20,603-24,773:-1) View Sequence Alignments","65.12 %","66.55 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L2368 Compare Regions (MU090362.1:6,906-8,926:-1) View Sequence Alignments","43.76 %","42.73 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L4068 Compare Regions (MU092491.1:4,450-4,893:1) View Sequence Alignments","53.66 %","8.00 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L5509 Compare Regions (MU089613.1:44,472-46,285:1) View Sequence Alignments","44.20 %","40.18 %","n/a","n/a","No"
"Corymbia citriodora","Many-to-many View Gene Tree","gene-BT93_L5511 Compare Regions (MU089613.1:123,437-125,371:1) View Sequence Alignments","45.29 %","40.18 %","n/a","n/a","No"
"Cucumis melo","Many-to-many View Gene Tree","MELO3C007967.2 Compare Regions (contig9:6,452,554-6,455,301:-1) View Sequence Alignments","56.63 %","60.55 %","n/a","84.18","Yes"
"Cucumis melo","Many-to-many View Gene Tree","MELO3C013735.2 Compare Regions (contig7:30,815,248-30,820,282:-1) View Sequence Alignments","46.58 %","45.82 %","n/a","75.27","Yes"
"Cucumis melo","Many-to-many View Gene Tree","MELO3C017017.2 Compare Regions (contig8:402,130-404,588:1) View Sequence Alignments","63.59 %","63.82 %","n/a","97.21","Yes"
"Cucumis melo","Many-to-many View Gene Tree","MELO3C017018.2 Compare Regions (contig8:398,488-400,616:1) View Sequence Alignments","61.83 %","62.73 %","n/a","0.00","No"
"Cucumis sativus","Many-to-many View Gene Tree","Csa_3G002400 Compare Regions (3:295,569-297,029:-1) View Sequence Alignments","46.60 %","39.82 %","n/a","0.00","No"
"Cucumis sativus","Many-to-many View Gene Tree","Csa_4G658530 Compare Regions (4:22,948,969-22,951,491:-1) View Sequence Alignments","63.60 %","64.18 %","n/a","97.22","Yes"
"Cucumis sativus","Many-to-many View Gene Tree","Csa_4G658540 Compare Regions (4:22,953,776-22,955,887:-1) View Sequence Alignments","61.54 %","62.55 %","n/a","13.84","No"
"Cucumis sativus","Many-to-many View Gene Tree","Csa_6G509050 Compare Regions (6:26,102,502-26,105,297:-1) View Sequence Alignments","56.63 %","60.55 %","n/a","94.40","Yes"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_005886 Compare Regions (scaffold_8011:11,868-17,287:1) View Sequence Alignments","36.76 %","24.73 %","n/a","n/a","No"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_013926 Compare Regions (scaffold_131:374,244-375,644:1) View Sequence Alignments","64.81 %","54.91 %","n/a","n/a","No"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_016519 Compare Regions (scaffold_13:108,961-111,326:-1) View Sequence Alignments","55.43 %","55.64 %","n/a","n/a","No"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_018719 Compare Regions (scaffold_1798:59,191-73,910:1) View Sequence Alignments","45.23 %","45.64 %","n/a","n/a","No"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_018731 Compare Regions (scaffold_4635:9,486-13,258:1) View Sequence Alignments","56.73 %","60.55 %","n/a","n/a","No"
"Cynara cardunculus","Many-to-many View Gene Tree","Ccrd_025357 Compare Regions (scaffold_3484:10,850-14,874:-1) View Sequence Alignments","49.36 %","56.18 %","n/a","n/a","No"
